StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,informed_consent,screener,age,gender,nationality,base_state,positionPosition,air_carrier_type,experience,Total_flying_hours,military_experience,general_1,general_2,general_3,general_4,general_5,general_6,financial_1,financial_2,financial_3,financial_4,financial_5,financial_6,QoL_1,QoL_2,QoL_3,QoL_4,QoL_5,QoL_6,professional_1,professional_2,professional_3,professional_4,professional_5,recognition_1,recognition_3,recognition_4,recognition_7,schedule_1,schedule_2,schedule_3,schedule_4,schedule_5,operational_1,operational_2,operational_3,operational_4,operational_5,leaving,when,why
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"By selecting ""Yes"" you acknowledge that you have read the above statements and consent to your participation in this research.",Are you currently employed as a commercial or airline transport pilot with an FAA-certified air carrier in the United States?,What is your age?,What is you gender?,List of Countries,"50 States, D.C. and Puerto Rico",What position do you currently hold?,What type of air carrier do you currently work for?,How many years of airline flying experience do you have (round up to nearest year)?,How many total flying hours do you have,Have you or do you currently serve in the military?,"The most important factor I look for in a job as a pilot is:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 6 for the 6th most important.



Financial factors include a competitive salary, allowances, soft pay, benefits package, job security and new/hire/longevity bonuses. (Allowances and soft pay are pays you receive above your minimum monthly guarantee and include per diem, uniform/luggage pays, productivity pay, availability of overtime pay, etc.) 


Quality of Life factors include a predictable schedule, vacation time, family-friendly policies, the possibility of being based at home, work-life balance, and travel benefits.



Professional Opportunity factors include a financially stable airline, the opportunity for rapid upgrade, the opportunity to fly larger aircraft, promotion based on merit, and an upgrade based on length of service.



Recognition factors include an airline that offers professional-looking uniforms, recognition as a professional, additional vacation time for long service, bonuses for long service, and long service awards.



Schedule factors include a fixed schedule, a variable schedule, flexible work rules, a bid line seniority system, and vacation bidding rules.



Operational factors include unambiguous standard operating procedures (SOPs), a proactive training environment, well-maintained aircraft, well-equipped aircraft, and highly skilled pilots. - Financial","The most important factor I look for in a job as a pilot is:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 6 for the 6th most important.



Financial factors include a competitive salary, allowances, soft pay, benefits package, job security and new/hire/longevity bonuses. (Allowances and soft pay are pays you receive above your minimum monthly guarantee and include per diem, uniform/luggage pays, productivity pay, availability of overtime pay, etc.) 


Quality of Life factors include a predictable schedule, vacation time, family-friendly policies, the possibility of being based at home, work-life balance, and travel benefits.



Professional Opportunity factors include a financially stable airline, the opportunity for rapid upgrade, the opportunity to fly larger aircraft, promotion based on merit, and an upgrade based on length of service.



Recognition factors include an airline that offers professional-looking uniforms, recognition as a professional, additional vacation time for long service, bonuses for long service, and long service awards.



Schedule factors include a fixed schedule, a variable schedule, flexible work rules, a bid line seniority system, and vacation bidding rules.



Operational factors include unambiguous standard operating procedures (SOPs), a proactive training environment, well-maintained aircraft, well-equipped aircraft, and highly skilled pilots. - Lifestyle","The most important factor I look for in a job as a pilot is:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 6 for the 6th most important.



Financial factors include a competitive salary, allowances, soft pay, benefits package, job security and new/hire/longevity bonuses. (Allowances and soft pay are pays you receive above your minimum monthly guarantee and include per diem, uniform/luggage pays, productivity pay, availability of overtime pay, etc.) 


Quality of Life factors include a predictable schedule, vacation time, family-friendly policies, the possibility of being based at home, work-life balance, and travel benefits.



Professional Opportunity factors include a financially stable airline, the opportunity for rapid upgrade, the opportunity to fly larger aircraft, promotion based on merit, and an upgrade based on length of service.



Recognition factors include an airline that offers professional-looking uniforms, recognition as a professional, additional vacation time for long service, bonuses for long service, and long service awards.



Schedule factors include a fixed schedule, a variable schedule, flexible work rules, a bid line seniority system, and vacation bidding rules.



Operational factors include unambiguous standard operating procedures (SOPs), a proactive training environment, well-maintained aircraft, well-equipped aircraft, and highly skilled pilots. - Professional Opportunity","The most important factor I look for in a job as a pilot is:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 6 for the 6th most important.



Financial factors include a competitive salary, allowances, soft pay, benefits package, job security and new/hire/longevity bonuses. (Allowances and soft pay are pays you receive above your minimum monthly guarantee and include per diem, uniform/luggage pays, productivity pay, availability of overtime pay, etc.) 


Quality of Life factors include a predictable schedule, vacation time, family-friendly policies, the possibility of being based at home, work-life balance, and travel benefits.



Professional Opportunity factors include a financially stable airline, the opportunity for rapid upgrade, the opportunity to fly larger aircraft, promotion based on merit, and an upgrade based on length of service.



Recognition factors include an airline that offers professional-looking uniforms, recognition as a professional, additional vacation time for long service, bonuses for long service, and long service awards.



Schedule factors include a fixed schedule, a variable schedule, flexible work rules, a bid line seniority system, and vacation bidding rules.



Operational factors include unambiguous standard operating procedures (SOPs), a proactive training environment, well-maintained aircraft, well-equipped aircraft, and highly skilled pilots. - Recognition","The most important factor I look for in a job as a pilot is:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 6 for the 6th most important.



Financial factors include a competitive salary, allowances, soft pay, benefits package, job security and new/hire/longevity bonuses. (Allowances and soft pay are pays you receive above your minimum monthly guarantee and include per diem, uniform/luggage pays, productivity pay, availability of overtime pay, etc.) 


Quality of Life factors include a predictable schedule, vacation time, family-friendly policies, the possibility of being based at home, work-life balance, and travel benefits.



Professional Opportunity factors include a financially stable airline, the opportunity for rapid upgrade, the opportunity to fly larger aircraft, promotion based on merit, and an upgrade based on length of service.



Recognition factors include an airline that offers professional-looking uniforms, recognition as a professional, additional vacation time for long service, bonuses for long service, and long service awards.



Schedule factors include a fixed schedule, a variable schedule, flexible work rules, a bid line seniority system, and vacation bidding rules.



Operational factors include unambiguous standard operating procedures (SOPs), a proactive training environment, well-maintained aircraft, well-equipped aircraft, and highly skilled pilots. - Schedule","The most important factor I look for in a job as a pilot is:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 6 for the 6th most important.



Financial factors include a competitive salary, allowances, soft pay, benefits package, job security and new/hire/longevity bonuses. (Allowances and soft pay are pays you receive above your minimum monthly guarantee and include per diem, uniform/luggage pays, productivity pay, availability of overtime pay, etc.) 


Quality of Life factors include a predictable schedule, vacation time, family-friendly policies, the possibility of being based at home, work-life balance, and travel benefits.



Professional Opportunity factors include a financially stable airline, the opportunity for rapid upgrade, the opportunity to fly larger aircraft, promotion based on merit, and an upgrade based on length of service.



Recognition factors include an airline that offers professional-looking uniforms, recognition as a professional, additional vacation time for long service, bonuses for long service, and long service awards.



Schedule factors include a fixed schedule, a variable schedule, flexible work rules, a bid line seniority system, and vacation bidding rules.



Operational factors include unambiguous standard operating procedures (SOPs), a proactive training environment, well-maintained aircraft, well-equipped aircraft, and highly skilled pilots. - Operational Excellence","It is most important to me that my employer offers:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 6 for the 6th most important.



Note: Allowances and soft pay are pays you receive above your minimum monthly guarantee and include per diem, uniform/luggage pays, productivity pay, availability of overtime pay, bonuses, etc. - A competitive salary","It is most important to me that my employer offers:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 6 for the 6th most important.



Note: Allowances and soft pay are pays you receive above your minimum monthly guarantee and include per diem, uniform/luggage pays, productivity pay, availability of overtime pay, bonuses, etc. - Allowances and soft pay","It is most important to me that my employer offers:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 6 for the 6th most important.



Note: Allowances and soft pay are pays you receive above your minimum monthly guarantee and include per diem, uniform/luggage pays, productivity pay, availability of overtime pay, bonuses, etc. - A competitive benefits package","It is most important to me that my employer offers:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 6 for the 6th most important.



Note: Allowances and soft pay are pays you receive above your minimum monthly guarantee and include per diem, uniform/luggage pays, productivity pay, availability of overtime pay, bonuses, etc. - Loss of certificate disability insurance","It is most important to me that my employer offers:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 6 for the 6th most important.



Note: Allowances and soft pay are pays you receive above your minimum monthly guarantee and include per diem, uniform/luggage pays, productivity pay, availability of overtime pay, bonuses, etc. - Job security","It is most important to me that my employer offers:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 6 for the 6th most important.



Note: Allowances and soft pay are pays you receive above your minimum monthly guarantee and include per diem, uniform/luggage pays, productivity pay, availability of overtime pay, bonuses, etc. - New hire & longevity bonuses","It is most important to me that my employer offers:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 6 for the 6th most important. - A predictable schedule","It is most important to me that my employer offers:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 6 for the 6th most important. - Vacation time","It is most important to me that my employer offers:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 6 for the 6th most important. - Family friendly policies","It is most important to me that my employer offers:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 6 for the 6th most important. - Possibility to be based at home","It is most important to me that my employer offers:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 6 for the 6th most important. - Travel benefits","It is most important to me that my employer offers:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 6 for the 6th most important. - Work-Life Balance","It is most important to me as a pilot that my employer offers:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 5 for the 5th most important. - Financially stable airline","It is most important to me as a pilot that my employer offers:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 5 for the 5th most important. - Opportunity for rapid upgrade","It is most important to me as a pilot that my employer offers:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 5 for the 5th most important. - Opportunity to fly larger aircraft","It is most important to me as a pilot that my employer offers:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 5 for the 5th most important. - Upgrade opportunity based on merit","It is most important to me as a pilot that my employer offers:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 5 for the 5th most important. - Upgrade opportunity based on length of service","It is most important to me as a pilot that:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 5 for the 5th most important. - my airline provides a professional-looking uniform","It is most important to me as a pilot that:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 5 for the 5th most important. - my airline offers additional vacation time for higher seniority","It is most important to me as a pilot that:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 5 for the 5th most important. - my peers treat me as a professional","It is most important to me as a pilot that:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 5 for the 5th most important. - my family and friends recognize the airline I work for","It is most important thing to me about my schedule is:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 5 for the 5th most important. - A fixed schedule","It is most important thing to me about my schedule is:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 5 for the 5th most important. - A variable schedule","It is most important thing to me about my schedule is:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 5 for the 5th most important. - Flexible scheduling rules","It is most important thing to me about my schedule is:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 5 for the 5th most important. - Bid line seniority system","It is most important thing to me about my schedule is:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 5 for the 5th most important. - Vacation bidding policy","It is most important to me as a pilot that my employer has:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 5 for the 5th most important. - Unambiguous Standard Operating Procedures","It is most important to me as a pilot that my employer has:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 5 for the 5th most important. - A proactive training environment","It is most important to me as a pilot that my employer has:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 5 for the 5th most important. - Well-maintained aircraft","It is most important to me as a pilot that my employer has:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 5 for the 5th most important. - Well-equipped aircraft","It is most important to me as a pilot that my employer has:



Please rank these factors in order of importance to you, with 1 being the most important, 2 being the 2nd most important, and on down to 5 for the 5th most important. - Highly skilled pilots",Do you intend on leaving your current airline?,"If you do leave your airline, when do you plan on leaving from now?","If you were to leave your airline, describe why you want to leave?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID3""}","{""ImportId"":""QID24""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID21""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID10_6""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}","{""ImportId"":""QID12_6""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID16_5""}","{""ImportId"":""QID19""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20_TEXT""}"
2025-03-23 20:36:25,2025-03-23 20:36:57,IP Address,14,32,False,2025-03-26 20:37:05,R_9G8laMn8oIVcXRv,anonymous,EN,0.8999999761581421,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-23 20:57:50,2025-03-23 20:59:30,IP Address,14,99,False,2025-03-26 20:59:34,R_7NfzycAe8z5eEWA,anonymous,EN,0.8999999761581421,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-23 20:27:40,2025-03-24 08:02:58,IP Address,0,41717,False,2025-03-27 08:03:01,R_9r18QnVbXn8wObU,anonymous,EN,0.8999999761581421,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-24 07:37:41,2025-03-24 08:51:01,IP Address,0,4400,False,2025-03-27 08:51:02,R_3b2Hh2iAjRYwHct,anonymous,EN,1,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-29 13:55:02,2025-03-29 13:59:17,IP Address,100,255,True,2025-03-29 13:59:18,R_7WYt16BpTw0Kdvb,anonymous,EN,0.8999999761581421,Yes,Yes,27,Male,United States of America,California,First Officer,Low Cost Carrier,3,3000,Never served in the military,2,1,6,5,3,4,1,2,4,3,5,6,1,2,4,6,5,3,1,3,4,5,2,2,1,3,4,5,3,1,4,2,1,2,3,5,4,Maybe,1-2 years,"Bases in lower cost of living areas. "
2025-03-29 13:54:33,2025-03-29 14:00:33,IP Address,100,359,True,2025-03-29 14:00:33,R_5LGrz1zNz4iNXkb,anonymous,EN,0.8999999761581421,Yes,Yes,28,Male,United States of America,Ohio,Captain,Regional Airline,3,2800,Never served in the military,1,4,2,5,3,6,2,5,4,3,1,6,3,6,4,2,5,1,1,4,2,5,3,3,2,1,4,1,5,2,4,3,1,2,4,5,3,Yes,1-2 years,"For a better airline that has better opportunities "
2025-03-29 13:56:35,2025-03-29 14:01:39,IP Address,100,304,True,2025-03-29 14:01:39,R_61v4VZpM30Bqd3y,anonymous,EN,0.8999999761581421,Yes,Yes,48,Female,United States of America,Montana,Captain,Freight/Cargo Carrier,11,6800,Never served in the military,1,2,5,6,3,4,1,2,3,5,4,6,1,3,6,4,5,2,1,4,3,5,2,3,2,1,4,1,4,5,2,3,1,4,2,5,3,Yes,Within 1 year,"Unfair, unsafe, and fatiguing work rules/schedules. Company is not negotiating in good faith. "
2025-03-29 13:52:47,2025-03-29 14:02:05,IP Address,100,557,True,2025-03-29 14:02:05,R_5D3chM1u6sQYMLf,anonymous,EN,1,Yes,Yes,34,Male,United States of America,Pennsylvania,Captain,Regional Airline,4,3600,Previously served in the military,1,2,3,6,4,5,1,4,2,6,3,5,3,4,6,1,5,2,1,2,4,3,5,3,1,2,4,2,3,1,4,5,3,5,1,2,4,Yes,1-2 years,"More pay, better 401k, better reserve schedule, higher seniority for non-reving, better ability to manipulate my scheudle."
